date,total,total_inside,total_outside,total_gas,total_aqueous,total_gas_inside,total_aqueous_inside,total_gas_outside,total_aqueous_outside
20200101,246138151.6712308,246138025.40928286,126.26194792906362,226148260.393466,19989891.277764782,226148134.92545068,19989890.48383216,125.46801530495016,0.7939326241134627
20400101,282759454.6173515,282758912.7308229,541.8865285764499,259795426.4949126,22964028.122438926,259794888.01575577,22964024.71506718,538.4791568333326,3.4073717431172716
20600101,322716525.6531512,322714554.9509122,1970.7022390701009,296507525.03100824,26209000.622143004,296505566.7205057,26208988.230406415,1958.3105024806239,12.391736589476874
20800101,365990717.03997695,365984476.3163725,6240.723604450768,336267559.68946815,29723157.350508835,336261358.2074099,29723118.1089626,6201.482058213638,39.241546237129796
21000101,412430767.71497214,412413184.1560407,17583.55893140409,378936871.0042658,33493896.710706268,378919398.01040417,33493786.145636484,17472.993861621497,110.56506978259553
21200101,461768542.69776314,461723695.3457168,44847.352046341344,424269763.30703473,37498779.390728444,424225197.9542485,37498497.391468346,44565.352786242045,281.99926009929817
21400101,513659769.1550612,513554765.1846768,105003.97038441156,471951195.2269837,41708573.92807752,471846851.5194823,41707913.66519454,104343.70750143699,660.2628829745668
21600101,567737739.3294584,567509446.7135301,228292.6159283251,521646506.5730523,46091232.756406076,521419649.4565646,46089797.256965406,226857.11648765806,1435.499440667042
21800101,623665787.5890775,623200517.4423394,465270.1467381126,573050161.7581729,50615625.83090475,572587817.2208886,50612700.22145091,462344.53728427325,2925.609453839392
22000101,681178867.3098592,680282961.7797557,895905.5301033593,625924631.4629482,55254235.84691093,625034359.3690474,55248602.410708345,890272.0939007724,5633.43620258685
