date,total,total_inside,total_outside,total_gas,total_aqueous,total_gas_inside,total_aqueous_inside,total_gas_outside,total_aqueous_outside
20200101,495166113.6219009,493737734.14296407,1428379.4789368522,454773060.5972639,40393053.02463706,453379893.5679061,40357840.57505801,1393167.0293578103,35212.44957904196
20400101,579450035.4203043,576212780.636023,3237254.784281359,532270926.727134,47179108.69317051,529113476.83542275,47099303.80060032,3157449.891711169,79804.89257019018
20600101,669110961.2340609,662469154.22978,6641807.0042810375,614797376.6829449,54313584.55111606,608319303.6847181,54149850.545061834,6478072.998226815,163734.00605422253
20800101,763835431.4999642,751342723.9660082,12492707.533956138,702113135.5273012,61722295.97266319,689928398.5576328,61414325.40837549,12184736.969668442,307970.56428769644
21000101,863507055.0513644,841757978.8136655,21749076.237698957,794166079.5024946,69340975.54886974,772953162.0809253,68804816.73274006,21212917.421569277,536158.8161296817
21200101,968156330.4903353,932836321.7508991,35320008.739436164,891036112.1797545,77120218.31058083,856586813.2518275,76249508.49907163,34449298.927926965,870709.8115092011
21400101,1077831139.0848222,1023950377.8272693,53880761.257553004,992805749.6628101,85025389.42201218,940253258.3902572,83697119.43701203,52552491.27255285,1328269.9850001556
21600101,1192470938.7045135,1114735503.9897385,77735434.71477506,1099436758.8321967,93034179.8723167,1023617660.1582029,91117843.83153553,75819098.67399389,1916336.0407811748
21800101,1311838857.158109,1205059342.7093632,106779514.44874574,1210705662.823769,101133194.33433965,1106558479.8555903,98500862.85377288,104147182.96817897,2632331.4805667745
22000101,1435518779.1803584,1294954368.9445477,140564410.23581046,1326204750.5460496,109314028.63430879,1189105537.9562597,105848830.98828809,137099212.58978978,3465197.6460206937
